t	u_1	u_2	u_3	u_4
937.9530	0.0000	0.0000	0.0000	0.0000
937.9840	0.0000	0.0000	0.0000	0.0000
938.0150	0.0000	0.0000	0.0000	-1.0000
938.0440	0.0000	0.0000	0.0000	-1.0000
944.2020	0.0000	0.0000	0.0000	-1.0000
944.2340	0.0000	0.0000	0.0000	0.0000
946.3860	0.0000	0.0000	0.0000	0.0000
946.4100	0.0000	0.0000	0.0000	0.0000
946.4410	0.0000	0.0000	0.0000	0.0000
946.4720	0.0000	0.0000	0.0000	0.0000
946.5020	0.0000	0.0000	0.0000	1.0000
946.5340	0.0000	0.0000	0.0000	1.0000
953.1820	0.0000	0.0000	0.0000	1.0000
953.2130	0.0000	0.0000	0.0000	0.0000
953.2430	0.0000	0.0000	0.0000	0.0000
