t	roll	pitch	yaw
1339.1700	-0.1600	0.0759	1.4237
1339.1750	-0.1600	0.0759	1.4237
1339.1800	-0.0263	0.0103	1.4297
1339.1850	-0.0263	0.0103	1.4297
1339.1900	-0.0173	-0.0054	1.4356
1339.1950	-0.0173	-0.0054	1.4356
1339.2000	0.0085	-0.0077	1.4415
1339.2050	0.0085	-0.0077	1.4415
1339.2100	0.2637	-0.1977	1.4470
1339.2150	0.2637	-0.1977	1.4470
1339.2200	0.1869	-0.5483	1.4526
1339.2250	0.1869	-0.5483	1.4526
1339.2300	-0.2126	0.4470	1.4584
1339.2350	-0.2126	0.4470	1.4584
1339.2400	0.0717	0.0747	1.4652
1339.2450	0.0717	0.0747	1.4652
1339.2500	0.0088	-0.0049	1.4711
1339.2550	0.0088	-0.0049	1.4711
1339.2600	0.0851	-0.1566	1.4769
1339.2650	0.0851	-0.1566	1.4769
1339.2700	0.0546	-0.0124	1.4829
1339.2750	0.0546	-0.0124	1.4829
1339.2800	0.0049	0.0256	1.4888
1339.2850	0.0049	0.0256	1.4888
1339.2900	0.0049	0.0256	1.4888
1339.2950	-0.0327	0.1064	1.4947
1339.3000	-0.0327	0.1064	1.4947
1339.3050	0.0914	-0.0607	1.5006
1339.3100	0.0911	0.0813	1.5066
1339.3150	0.0911	0.0813	1.5066
1339.3200	-0.2832	0.0156	1.5125
1339.3250	-0.2832	0.0156	1.5125
1339.3300	-0.1165	0.1346	1.5182
1339.3350	-0.1165	0.1346	1.5182
1339.3400	0.1252	-0.0335	1.5243
1339.3450	0.1252	-0.0335	1.5243
1339.3500	0.0198	-0.0143	1.5302
1339.3550	0.0198	-0.0143	1.5302
1339.3600	-0.1871	-0.0836	1.5363
1339.3650	-0.1871	-0.0836	1.5363
1339.3700	0.0066	0.0438	1.5420
1339.3750	0.0066	0.0438	1.5420
1339.3800	-0.0793	0.0133	1.5479
1339.3850	-0.0793	0.0133	1.5479
1339.3900	-0.0505	-0.0386	1.5539
1339.3950	-0.0505	-0.0386	1.5539
1339.4000	-0.0577	-0.2841	1.5599
1339.4050	-0.0577	-0.2841	1.5599
1339.4100	0.3008	-0.0668	1.5655
1339.4150	0.3008	-0.0668	1.5655
1339.4200	0.2210	-0.0568	1.5715
1339.4250	0.2210	-0.0568	1.5715
1339.4300	-0.1084	-0.1052	1.5776
1339.4350	-0.1084	-0.1052	1.5776
1339.4400	-0.1152	0.0730	1.5833
1339.4450	-0.1152	0.0730	1.5833
1339.4500	0.0758	-0.1317	1.5892
1339.4550	0.0758	-0.1317	1.5892
1339.4600	-0.2680	-0.0339	1.5953
1339.4650	-0.2680	-0.0339	1.5953
1339.4700	0.1358	-0.3098	1.6008
1339.4750	0.1358	-0.3098	1.6008
1339.4800	-0.0274	0.0213	1.6070
1339.4850	-0.0274	0.0213	1.6070
1339.4900	0.0093	0.0290	1.6129
1339.4950	0.0093	0.0290	1.6129
1339.5000	-0.0560	0.0554	1.6188
1339.5050	-0.0560	0.0554	1.6188
1339.5100	-0.0849	0.3078	1.6245
1339.5150	-0.0849	0.3078	1.6245
1339.5200	0.1341	0.2214	1.6309
